FID,Status,Score,Match_type,Match_addr,Number,LONGITUDE,LATITUDE,UID,ProgType,Agency,ProgName,InvType,BedType,TargetPop,SubPop,PopB,PopC,McKVento,UtilizRate,Address,Address2,City_1,ZIP,GEOID,Contact,Title,Phone,Email,SPA,SD,CD,CTs,Beds,Units,PIT,SkidRow,Veterans
433,M,100,A,"663 W 10th St, San Pedro, CA, 90731",1,-118.291527,33.735098,056-005252,ES,Harbor Interfaith Services,FSC Emergency Shelter,C,Facility-based beds,HC,Family,NA,NA,Yes,0.64,663 W. 10th St., ,San Pedro,90731,62118,Sharon Stewart,Shelter Director,(310) 831-0589,shelter.dir@harborinterfaith.org,SPA 8,SD 4,CD 15,296600,74, ,47, , 
434,M,100,A,"529 Broad Ave, Wilmington, CA, 90744",1,-118.260897,33.776139,214-001852,ES,Beacon Light Mission and Doors of Hope,Doors of Hope ES,C,Facility-based beds,SF,Individual,NA, ,No,0.55,529 Broad Ave, ,Wilmington,90744,69037,"Figueroa, Gina",Bookkeeper,(310) 830-7064,beaconlightm@aol.com,SPA 8,SD 4,CD 15,294700,20, ,11, , 
435,M,100,A,"525 Broad Ave, Wilmington, CA, 90744",1,-118.260893,33.776083,214-001850,ES,Beacon Light Mission and Doors of Hope,Beacon Light Mission ES,C,Facility-based beds,SM,Individual,NA,NA,No,0.89,525 Broad Ave., ,Wilmington,90744,62118,"Figueroa, Gina",Bookkeeper,(310) 830-7063,beaconlightm@aol.com,SPA 8,SD 4,CD 15,294700,19, ,17, , 
436,M,100,A,"800 S Santa Anita Ave, Arcadia, CA, 91006",1,-118.03114,34.131336,292-008151,PSH,Pacific Clinics,HACoLA Shelter Plus Care,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.92,800 S. Santa Anita Ave., ,Arcadia,91006,69037,David Garcia,Corporate Director of Housing,(626) 463-1021 x 137,dagarcia@pacificclinics.org,SPA 3,SD 5,NA,430801,48, ,44, , 
437,M,100,A,"1755 Huntington Dr, Duarte, CA, 91010",1,-117.967323,34.139804,176-013001,RRH,Union Station Homeless Services,FSC Rapid Re-Housing,N,0,HC,Family,NA,NA,Yes,1,1755 HUNTINGTON DR, ,Duarte,91010,69037,Michelle Garcia,Team Leader,(626) 375-5132,mgarcia@unionstationhs.org,SPA 3,SD 5,NA,430101,29, ,29, , 
438,M,100,A,"800 S Santa Anita Ave, Arcadia, CA, 91006",1,-118.03114,34.131336,292-008156,TH,Pacific Clinics,Pacific Clinics TAY Housing Stabilization Program,C,0,SMF,Youth,NA,Youth (Ages 12-17),Yes,0.81,800 S Santa Anita Ave, ,Arcadia,91006,69037,Susan Mandel,Executive Director,(626) 463-1021,smandel@pacificclinics.org,SPA 3,SD 5,NA,430801,16, ,13, , 
439,M,100,A,"1755 Huntington Dr, Duarte, CA, 91010",1,-117.967323,34.139804,176-013005,ES,Union Station Homeless Services,Coordinated Assessment Motel Vouchers,C,Voucher beds,HC,Family,NA, ,Yes,1,1755 HUNTINGTON DR, ,Duarte,91010,64074,Michelle Garcia,Team Leader,(626) 375-5132,mgarcia@unionstationhs.org,SPA 3,SD 5,NA,430101,16, ,16, , 
440,M,100,A,"800 S Santa Anita Ave, Arcadia, CA, 91006",1,-118.03114,34.131336,292-008901,PSH,Pacific Clinics,Portals/Pacific Clinics - Various Locations,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.91,800 S. Santa Anita Ave., ,Arcadia,91006,69037,David Garcia,Corporate Director of Housing,(626) 463-1021,dagarcia@pacificclinics.org,SPA 3,SD 5,NA,430801,33, ,30, , 
441,M,100,PP, ,1,-118.597711,34.197414,260-005350,ES,"Haven Hills, Inc.",Crisis Shelter,C,Facility-based beds,SFHC,Family,DV,NA,No,0.28,P.O. Box 260, ,Canoga Park,91303,62118,Teresa Hernandez,Crisis Shelter Program Coordinator, ,thernandez@havenhills.org,SPA 2,SD 3,CD 3,134520,39, ,11, , 
442,M,100,PP, ,1,-118.601936,34.201177,260-005351,TH,"Haven Hills, Inc.",Haven Two Housing and Employment Program,C,0,SFHC,Family,DV,NA,No,0.54,P.O. Box 260, ,Canoga Park,91305,62118,Ivy Panlilio,Program Director,(818) 887-7481,ipanlilio@havenhills.org,SPA 2,SD 3,CD 3,134510,102, ,55, , 
443,M,100,A,"6695 Orange Ave, Long Beach, CA, 90805",1,-118.177455,33.876329,110-009605,PSH,The Serra Project,CHOISS SPA 8,C,0,SMF+HC,Family,HIV,Developmentally Disabled,Yes,0.89,6695 ORANGE AVE, ,Long Beach,90805,62088,Erik Enriquez,CHOISS Program Manager,(323) 344.4861,eenriquez@alliancehh.org,0,SD 4,NA,0,45, ,40, , 
444,M,100,PP, ,1,-118.534197,34.383719,244-004150,ES,Domestic Violence Center of the Santa Clarita Valley,Shelter Resident Services,C,Facility-based beds,SMF+HC,Family,DV,NA,No,1,Confidential, ,Newhall,91321,63356,Jessica Barraza,DV Advocate,(661) 259-8175,jessica.barrazadvc@gmail.com,SPA 2,SD 5,NA,920335,12, ,12, , 
445,M,100,A,"610 E Chevy Chase Dr, Glendale, CA, 91205",1,-118.247527,34.133692,110-009602,PSH,The Serra Project,CHOISS SPA 2,C,0,SMF+HC,Family,HIV,Developmentally Disabled,Yes,0.96,610 E CHEVY CHASE DR, ,Glendale,91205,61464,Erik Enriquez,CHOISS Program Manager,(323) 344.4861,eenriquez@alliancehh.org,SPA 2,SD 5,NA,0,24, ,23, , 
446,M,100,A,"8624 De Soto Ave, Canoga Park, CA, 91304",1,-118.588462,34.227312,116-011050,PSH,Valley Village,Carriage House,C,0,SMF,Individual,NA,NA,Yes,0.88,8624 DE SOTO AVE, ,CANOGA PARK,91304,62118,Phillip Motherspaw,QMRP,(818) 587-9450,phillip@vvc.org,SPA 2,SD 3,CD 3,113422,8, ,7, , 
447,M,96.47,A,"20401 Roscoe Blvd, Winnetka, CA, 91306",1,-118.578296,34.220141,219-002104,TH,"BRIDGES, Inc.",Primer Paso,C,0,SMF,Individual,NA,Mentally Ill,No,0,20401 Roscoe Blvd, ,Canoga Park,91306,62118,Tracy Levy,Program Director,(818) 998-1565,tlevy@bridgesrehab.org,SPA 2,SD 3,CD 3,113232,6, ,0, , 
448,M,100,A,"21000 Plummer St, Chatsworth, CA, 91311",1,-118.589536,34.24268,298-009150,TH,Rancho San Antonio,Rancho San Antonio Transitional Housing Program,C,0,SM,Youth,NA,Youth (Ages 18-25),No,0.93,21000 PLUMMER ST, ,Chatsworth,91311,62118,Richard Bartley,THP Coordinator,(818) 882-6400,thp@ranchosanantonio.org,SPA 2,SD 5,CD 12,113303,15, ,14, , 
449,M,89.04,A,"8360 Eton Ave, Canoga Park, CA, 91304",1,-118.595035,34.221734,427-017854,TH,Hope of the Valley Rescue Mission,The Bridge Transitional Recovery,C,0,SM,Individual,NA, ,Yes,0,8360 Eton St., ,Canoga Park,91304,62118,Jonathan Leeper,Director of Community Relations,(818) 469-3994,jonathan.leeper@hopeofthevalley.org,SPA 2,SD 3,CD 3,113234,15, ,0, , 
450,M,100,A,"8822 Canby Ave, Northridge, CA, 91325",1,-118.534726,34.231028,303-009500,ES,San Fernando Valley Rescue Mission,Emergency Housing Program,N,Facility-based beds,HC,Family,NA,NA,No,0.82,8822 CANBY AVE, ,Northridge,91325,62118,Roman Garcia,Shelter Supervisor,(818) 474-1297,rgarcia@erescuemission.org,SPA 2,SD 3,CD 12,115202,34, ,28, , 
451,M,95.51,A,"10202 Bartee Ave, Los Angeles, CA, 91331",1,-118.437841,34.256026,427-017853,TH,Hope of the Valley Rescue Mission,John E. White House of Hope,N,0,SM,Individual,NA, ,No,0.4,10202 Bartee Ave., ,Arleta,91331,62118,Jonathan Leeper,Director of Community Relations,(818) 469-3997,jonathan.leeper@hopeofthevalley.org,SPA 2,SD 3,CD 6,119100,10, ,4, , 
452,M,100,A,"7639 Day St, Tujunga, CA, 91042",1,-118.298731,34.254627,026-006888,PSH,LA Family Housing Corporation,Day Street Apartments,N,0,SMF,Individual,NA,Chronically Homeless,No,1.02,7639 Day St., ,Tujunga,91042,62118,Kris Freed,Director of Homeless Services for Familes,(818) 982-4091,kfreed@lafh.org,SPA 2,SD 5,CD 7,101400,45, ,46, , 
453,M,100,A,"12409 Van Nuys Blvd, Pacoima, CA, 91331",1,-118.403677,34.2796,020-005611,TH,"Hillview Mental Health Center, Inc.",Hillview Independent Living Program,C,0,SMF,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.9,12409 Van Nuys Blvd., ,Pacoima,91331,62118,Peggy Wilson-Jordan,Program Director,(818) 896-1161,pjordan@hillviewmhc.org,SPA 2,SD 3,CD 7,104105,10, ,9, , 
454,M,100,A,"12456 Van Nuys Blvd, Pacoima, CA, 91331",1,-118.403891,34.279298,020-005612,PSH,"Hillview Mental Health Center, Inc.",Hillview Shelter Plus Care TRA,C,0,SMF+HC,Family,NA,Mentally Ill,Yes,0.4,12456 Van Nuys Blvd., ,Pacoima,91331,62118,Sande Weiss,Director of Shelter Plus Care,(818) 896-1161 x 218,sweiss@hillviewmhc.org,SPA 2,SD 3,CD 7,104105,35, ,14, , 
455,M,100,A,"12408 Van Nuys Blvd, Pacoima, CA, 91331",1,-118.402847,34.280057,020-005607,PSH,"Hillview Mental Health Center, Inc.",Hillview - Hillview Village PRA,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.88,12408 Van Nuys Blvd., ,Pacoima,91331,62118,Sande Weiss,Director of Shelter Plus Care,(818) 896-1161 x 218,sweiss@hillviewmhc.org,SPA 2,SD 3,CD 7,104105,41, ,36, , 
457,M,100,A,"12410 Van Nuys Blvd, Pacoima, CA, 91331",1,-118.402887,34.280029,020-005608,PSH,"Hillview Mental Health Center, Inc.",Hillview Mental Health Center- Hillview Village SRA,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.83,12410 Van Nuys Blvd., ,Pacoima,91331,62118,Sande Weiss,Director of Shelter Plus Care,(818) 896-1161 x 218,sweiss@hillviewmhc.org,SPA 2,SD 3,CD 7,104105,23, ,19, , 
459,M,100,A,"10264 Rincon Ave, Pacoima, CA, 91331",1,-118.428637,34.256953,427-017850,ES,Hope of the Valley Rescue Mission,The Genesis House,C,Facility-based beds,HC,Family,NA,NA,No,0.38,10264 RINCON AVE, ,Pacoima,91331,62118,Jonathan Leeper,Director of Community Relations,(818) 469-3996,jonathan.leeper@hopeofthevalley.org,SPA 2,SD 3,CD 7,104500,29, ,11, , 
460,M,100,A,"18317 Arminta St, Reseda, CA, 91335",1,-118.532154,34.213902,137-010607,TH,Tarzana Treatment Center,HIV Transitional Housing Program,C,0,SMF,Individual,HIV,Chronically Homeless,Yes,1.03,18317 ARMINTA ST, ,RESEDA,91335,62118,Truatt Wright,Tranistional Housing Coordinator,(818) 342-5897 x 2148,twight@tarzanatc.org,SPA 2,SD 3,CD 12,131400,30, ,31, , 
461,M,100,A,"11066 Norris Ave, Pacoima, CA, 91331",1,-118.417063,34.271258,111-111902,ES,Hope of the Valley Rescue Mission,Winter Shelter Program II,C,Facility-based beds,SMF,Individual,NA, ,Yes,1,11066 Norris Ave., ,Pacoima,91331,62118,Jonathan Leeper,Director of Community Relations,(818) 469-3995,jonathan.leeper@hopeofthevalley.org,SPA 2,SD 3,CD 7,104320,83, ,83, , 
462,M,100,A,"8044 Darby Pl, Reseda, CA, 91335",1,-118.532511,34.217075,137-010620,TH,Tarzana Treatment Center,Porch Light Transitional Housing Program,C,0,SMF,Individual,HIV,NA,Yes,1,8044 DARBY PL, ,RESEDA,91335,62118,Truatt Wright,Tranistional Housing Coordinator,(818) 342-5897 x 2148,twight@tarzanatc.org,SPA 2,SD 3,CD 12,131400,12, ,12, , 
463,M,90.87,A,"12232 Osborne Pl, Los Angeles, CA, 91331",1,-118.399538,34.261376,011-001115,PSH,A Community of Friends,Osborne Place Apartments,N,0,SMF+HC,Family,NA,Mentally Ill,Yes,0.76,12232 West Osborne Place, ,Los Angeles,91331,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 2,SD 3,CD 7,104702,170, ,129, , 
464,M,89.04,A,"1422 San Fernando Rd, San Fernando, CA, 91340",1,-118.445773,34.28675,277-007051,PSH,Abbey Road (Los Angeles Housing Partnership),Mid-Celis Apartments,N,0,SMF+HC,Family,NA, ,Yes,0.81,1422 San Fernando, ,San Fernando,91340,69037,,,,,SPA 2,SD 3,NA,320300,48, ,39, , 
465,M,100,A,"12249 Lopez Canyon Rd, Sylmar, CA, 91342",1,-118.399354,34.297691,314-010868,PSH,Union Rescue Mission,Hope Gardens Senior Center,C,0,SF,Individual,NA,Seniors (Aged 62+),No,0.83,12249 LOPEZ CANYON RD, ,Sylmar,91342,69037,Steve Borja,VP of Programs,(213) 347-6318,sborja@urm.org,SPA 2,SD 5,NA,930200,24, ,20, , 
466,M,100,A,"12249 Lopez Canyon Rd, Sylmar, CA, 91342",1,-118.399354,34.297691,314-010855,TH,Union Rescue Mission,Hope Gardens Family Center,C,0,SFHC,Family,NA,NA,No,1,12249 LOPEZ CANYON RD, ,Sylmar,91342,69037,Steve Borja,VP of Programs,(213) 347-6318,sborja@urm.org,SPA 2,SD 5,NA,930200,136, ,136, , 
467,M,100,A,"12860 Arroyo St, Sylmar, CA, 91342",1,-118.41262,34.294052,125-009551,ES,Bridge to Home,Winter Shelter Program - Sylmar,C,Facility-based beds,SMF,Individual,NA,NA,Yes,0.96,12860 Arroyo St., ,Sylmar,91342,62118,Timothy Davis,Executive Director,(661) 388-0081,ed@btohome.com,SPA 2,SD 3,CD 7,106112,125, ,120, , 
468,M,100,A,"131 Park Ave, San Fernando, CA, 91340",1,-118.434972,34.280894,439-018651,PSH,Aszkenazy Development,Park View Place Apartments,C,0,SMF,Individual,NA, ,Yes,1,131 Park Ave, ,San Fernando,91340,69037,Adriana Gomez,Development Project Mgr,(818) 270-9086,adriana@aszkenazy.com,SPA 2,SD 3,NA,320200,20, ,20, , 
470,M,100,A,"15532 Nordhoff St, North Hills, CA, 91343",1,-118.470444,34.235501,011-001124,PSH,A Community of Friends,Woodland Terrace,C,0,HC,Family,NA,Mentally Ill,Yes,0.87,15532 Nordhoff St., ,North Hills,91343,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 2,SD 3,CD 7,117405,107, ,93, , 
471,M,100,A,"15260 Rayen St, North Hills, CA, 91343",1,-118.465054,34.231834,124-008509,TH,Penny Lane Centers,Rayen Transitional Housing,C,0,SMF,Individual,NA,Mentally Ill,Yes,1,15260 Rayen St., ,North Hills,91343,62118,Lee Overson,Program Manager,(818) 402-2115,loverson@pennylane.org,SPA 2,SD 3,CD 6,117520,22, ,22, , 
472,M,100,A,"13190 Bromont Ave, Sylmar, CA, 91342",1,-118.437519,34.31048,089-010468,TH,"Step Up On Second Street, Inc.",Step Up On Bromont,C,0,SMF,Individual,NA, ,No,0.81,13190 BROMONT AVE, ,Sylmar,91342,62118,Aaron Criswell,Director of Supportive Services,(310) 394-6889 x 32,aaron@stepuponsecond.org,SPA 2,SD 3,CD 7,106404,27, ,22, , 
473,M,100,A,"15266 Acre St, North Hills, CA, 91343",1,-118.465166,34.229906,124-008508,TH,Penny Lane Centers,Penny Lane Transitional Housing Program,C,0,SMF,Youth,NA,Youth (Ages 18-25),Yes,0.5,15266 Acre St., ,North Hills,91343,62118,Lee Overson,Program Manager,(818) 402-2114,loverson@pennylane.org,SPA 2,SD 3,CD 6,117520,8, ,4, , 
474,M,100,A,"8906 Columbus Ave, North Hills, CA, 91343",1,-118.46533,34.232053,124-008505,PSH,Penny Lane Centers,Penny Lane Permanent Housing Center Program,C,0,SMF,Youth,NA,Youth (Ages 18-25),Yes,0.87,8906 Columbus Ave., ,North Hills,91343,62118,Lee Overson,Program Manager,(818) 402-2113,loverson@pennylane.org,SPA 2,SD 3,CD 7,117510,15, ,13, , 
475,M,100,A,"15862 Gresham St, North Hills, CA, 91343",1,-118.478596,34.231011,124-008501,TH,Penny Lane Centers,Columbus Project,C,0,SMF,Youth,NA,Youth (Ages 18-25),Yes,1,15862 Gresham St., ,North Hills,91343,61914,Lee Overson,Program Manager,(818) 402-2117,loverson@pennylane.org,SPA 2,SD 3,CD 6,117520,18, ,18, , 
476,M,100,A,"15258 Gresham St, North Hills, CA, 91343",1,-118.465056,34.230858,124-008511,TH,Penny Lane Centers,Gresham Project,C,0,SMF,Individual,NA, ,Yes,0.8,15258 Gresham St., ,North Hills,91343,62118,Lee Overson,Program Manager,(818) 402-2116,loverson@pennylane.org,SPA 2,SD 3,CD 6,117520,10, ,8, , 
477,M,100,A,"23031 Drayton St, Santa Clarita, CA, 91350",1,-118.538038,34.411791,125-009550,ES,Bridge to Home,Winter Shelter Program - Santa Clarita,C,Facility-based beds,SMF,Individual,NA,NA,Yes,1,23031 Drayton St., ,Santa Clarita,91350,63356,Annette Guzman,Shelter Manager,(661) 388-0082,annette.guzman@btohome.com,SPA 2,SD 5,NA,920314,38, ,38, , 
478,M,100,A,"18565 Soledad Canyon Rd, Canyon Country, CA, 91351",1,-118.457298,34.416402,407-017050,TH,Family Promise of Santa Clarita Valley,Interfaith Hospitality Network,C,0,HC,Family,NA,NA,No,0.36,18565 Soledad Canyon Road #133, ,Canyon Country,91351,63356,Chris Najarro,Executive Director,(661) 251-2867,cnajarro@familypromisescv.org,SPA 2,SD 5,NA,920035,14, ,5, , 
479,M,100,A,"14129 Calvert St, Los Angeles, CA, 91401",1,-118.440705,34.18172,011-001105,PSH,A Community of Friends,Cornerstone Apartments,C,0,SMF+HC,Family,NA,Mentally Ill,Yes,0.35,14129 Calvert St., ,Los Angeles,91401,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 2,SD 3,CD 6,128210,60, ,21, , 
480,M,100,A,"8140 Sunland Blvd, Sun Valley, CA, 91352",1,-118.369614,34.218272,506-019700,TH,The Teen Project Inc,Freehab,C,0,SF,Youth,NA, ,No,0.45,8140 SUNLAND BLVD, ,Sun Valley,91352,62118,,,,,SPA 2,SD 3,CD 6,122110,74, ,33, , 
481,M,100,A,"8925 Glenoaks Blvd, Sun Valley, CA, 91352",1,-118.36784,34.231143,026-006884,PSH,LA Family Housing Corporation,Palo Verde,C,0,SMF,Individual,NA,Chronically Homeless,No,0.92,8925 Glenoaks Blvd, ,Sun Valley,91352,62118,John Horn,VP of Programs,(818) 982-4091,jhorn@lafh.org,SPA 2,SD 3,CD 6,121100,60, ,55, , 
482,M,100,A,"14406 Hamlin St, Los Angeles, CA, 91401",1,-118.446717,34.188611,021-005818,PSH,Homes for Life Foundation,HFL Sequoia Apartments,C,0,SMF,Individual,NA,Chronically Homeless,Yes,1,14406 Hamlin Street, ,Los Angeles,91401,62118,Deborah Gibson,Executive Assistant,(310) 337-7417,dgibson@homesforlife.org,SPA 2,SD 3,CD 6,128100,12, ,12, , 
483,M,100,A,"14655 Blythe St, Panorama City, CA, 91402",1,-118.452574,34.215262,415-017350,PSH,"AMCAL Multi-Housing, Inc.",Montecito Terraces,C,0,CO,Individual,NA,Seniors (Aged 55+),No,0,14655 Blythe Street, ,Panorama City,91402,62118,Matthew Segerdal,Senior Project Manager,(818) 706-0694 x 159,msegerdal@amcalhousing.com,SPA 2,SD 3,CD 6,120030,12, ,0, , 
484,M,100,A,"13457 Vanowen St, Los Angeles, CA, 91405",1,-118.426203,34.193996,021-005813,PSH,Homes for Life Foundation,HFL Van Nuys Apartments,C,0,SMF,Individual,NA,Mentally Ill,Yes,1,13457 Vanowen St., ,Los Angeles,91405,62490,Deborah Gibson,Executive Assistant,(310) 337-7417,dgibson@homesforlife.org,SPA 2,SD 3,CD 2,123510,14, ,14, , 
485,M,100,A,"8904 Willis Ave, Los Angeles, CA, 91402",1,-118.455217,34.231943,011-001122,PSH,A Community of Friends,Willis Avenue Apartments,C,0,SMF,Individual,NA,Chronically Homeless,Yes,1,8904 Willis Ave., ,Los Angeles,91402,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 2,SD 3,CD 6,119340,41, ,41, , 
486,M,100,A,"14419 Vanowen St, Los Angeles, CA, 91405",1,-118.447168,34.193992,021-005812,PSH,Homes for Life Foundation,HFL Vanowen Apartments,C,0,SMF,Individual,NA,Mentally Ill,Yes,1,14419 Vanowen St., ,Los Angeles,91405,62118,Deborah Gibson,Executive Assistant,(310) 337-7417,dgibson@homesforlife.org,SPA 2,SD 3,CD 6,127910,14, ,14, , 
487,M,100,A,"6721 Tyrone Ave, Van Nuys, CA, 91405",1,-118.444406,34.192802,104-009458,TH,"San Fernando Valley Community Mental Health Center, Inc.",Tyrone Houses,C,0,SMF,Individual,NA,Mentally Ill,No,0.47,6721 Tyrone Ave., ,Van Nuys,91405,62118,Bonnie Roth,Asst. Director of Homeless Continuum,(818) 901-4836,broth@sfvcmhc.org,SPA 2,SD 3,CD 2,128100,15, ,7, , 
488,M,100,A,"14530 Sylvan St, Van Nuys, CA, 91411",1,-118.449631,34.184597,229-002950,ES,Children of the Night,Children of the Night Housing Program,C,Facility-based beds,YMF,Youth,NA,Youth (Ages 12-17),No,0.62,14530 Sylvan St., ,Van Nuys,91411,62118,Fadwa Assad,Resource Specialist/Outreach for WOW Program,(818) 908- 4474 x 118,fassad@childrenofthenight.org,SPA 2,SD 3,CD 6,128303,24, ,15, , 
489,M,100,A,"14660 Oxnard St, Van Nuys, CA, 91411",1,-118.452224,34.179341,104-009462,PSH,"San Fernando Valley Community Mental Health Center, Inc.",HACLA Shelter Plus Care Program,C,0,SMF,Individual,NA, ,Yes,0.88,14660 Oxnard St., ,Van Nuys,91411,62118,Bonnie Roth,Asst. Director of Homeless Continuum,(818) 901-4836,broth@sfvcmhc.org,SPA 2,SD 3,CD 4,128400,25, ,22, , 
490,M,100,A,"14660 Oxnard St, Van Nuys, CA, 91411",1,-118.452224,34.179341,104-009464,RRH,"San Fernando Valley Community Mental Health Center, Inc.",SSVF - Supportive Services for Veteran Families,C,0,SMF+HC,Family,NA, ,No,1,14660 Oxnard St., ,Van Nuys,91411,62118,Bonnie Roth,Asst. Director of Homeless Continuum,(818) 901-4836,broth@sfvcmhc.org,SPA 2,SD 3,CD 4,128400,8, ,8, , 
491,M,100,A,"14660 Oxnard St, Van Nuys, CA, 91411",1,-118.452224,34.179341,104-009460,OPH,"San Fernando Valley Community Mental Health Center, Inc.",Homeless Section 8 Voucher Program (HACLA),C,0,SMF+HC,Family,NA,Mentally Ill,Yes,0.76,14660 Oxnard St., ,Van Nuys,91411,62118,Bonnie Roth,Asst. Director of Homeless Continuum,(818) 901-4836,broth@sfvcmhc.org,SPA 2,SD 3,CD 6,127910,17, ,13, , 
493,M,100,PP, ,1,-118.442167,34.153001,109-006206,TH,Jewish Family Services of Los Angeles,Family Violence Project/Hope Cottage,C,0,SFHC,Family,DV, ,Yes,1,Confidential, ,Sherman Oaks,91423,62118,,,,,SPA 2,SD 2,CD 4,141700,20, ,20, , 
494,M,100,PP, ,1,-118.335,34.203435,221-002200,TH,Burbank Housing Corporation,Puerta Nueva Transitional Facility,C,0,SFHC,Family,DV,NA,No,1,Confidential, ,Burbank,91504,60456,Laurie Bleick,Director,(818) 845-7671,lauriebjb@yahoo.com,SPA 2,SD 5,NA,310600,14, ,14, , 
495,M,100,A,"14660 Oxnard St, Van Nuys, CA, 91411",1,-118.452224,34.179341,104-009466,RRH,"San Fernando Valley Community Mental Health Center, Inc.",Diversion 50,C,0,SMF,Individual,NA, ,No,0.33,14660 Oxnard St., ,Van Nuys,91411,62118,Bonnie Roth,Asst. Director of Homeless Continuum,(818) 901-4836,broth@sfvcmhc.org,SPA 2,SD 3,CD 4,128400,15, ,5, , 
496,M,100,A,"13751 Sherman Way, Van Nuys, CA, 91405",1,-118.432413,34.201266,365-014652,PSH,Abode Communities,Ivy Terrace,C,0,SMF+HC,Family,NA, ,Yes,1,13751 Sherman Way, ,Van Nuys,91405,62118,Robin Hughes,President and Chief Executive Officer,(213) 629-2701,info@abodecommunities.org,SPA 2,SD 3,CD 2,127101,45, ,45, , 
497,M,100,A,"5530 Klump Ave, Los Angeles, CA, 91601",1,-118.375132,34.170683,021-005811,PSH,Homes for Life Foundation,HFL Garden Villa Apartments,C,0,SMF,Individual,NA,Mentally Ill,Yes,1,5530 Klump Ave., ,Los Angeles,91601,62118,Deborah Gibson,Executive Assistant,(310) 337-7417,dgibson@homesforlife.org,SPA 2,SD 3,CD 2,125310,20, ,20, , 
498,M,100,A,"5120 Klump Ave, North Hollywood, CA, 91601",1,-118.375663,34.163404,026-006891,PSH,LA Family Housing Corporation,Klump Apartments,C,0,SMF,Individual,NA,NA,No,0.8,5120 Klump Avenue, ,North Hollywood,91601,62118,Kris Freed,Director of Homeless Services for Familes,(818) 982-4091,kfreed@lafh.org,SPA 2,SD 3,CD 2,125400,15, ,12, , 
499,M,100,A,"5525 Klump Ave, Los Angeles, CA, 91601",1,-118.375264,34.170557,234-003403,PSH,PATH Ventures,NoHo Senior Villas,C,0,SMF,Individual,NA,Chronically Homeless,No,1,5525 Klump Ave., ,Los Angeles,91601,62118,Candice Hung,Project Manager,(213) 316-0108,chung@mhala.org,SPA 2,SD 3,CD 2,125310,30, ,30, , 
500,M,89.04,A,"1819 Grismer Ave, Burbank, CA, 91504",1,-118.325488,34.194832,221-002201,TH,Burbank Housing Corporation,Home Front,C,0,HC,Family,NA,NA,No,1,1819 Grismer, ,Burbank,91504,60456,Laurie Bleick,Director,(818) 845-7671,lauribjb@yahoo.com,SPA 2,SD 5,NA,310600,25, ,25, , 
501,M,100,A,"7843 Lankershim Blvd, Los Angeles, CA, 91605",1,-118.38785,34.212874,026-006890,RRH,LA Family Housing Corporation,FSC Rapid Re-Housing,C,0,HC,Family,NA,NA,Yes,1,7843 Lankershim Blvd., ,Los Angeles,91605,62118,Kris Freed,Director of Homeless Services for Familes,(818) 982-4091,kfreed@lafh.org,SPA 2,SD 3,CD 6,121800,57, ,57, , 
502,M,89.04,A,"1819 Grismer Ave, Burbank, CA, 91504",1,-118.325488,34.194832,221-002202,TH,Burbank Housing Corporation,Linden House,C,0,SMF,Youth,NA,Youth (Emancipated Foster Youth),No,1,1819 Grismer, ,Burbank,91504,60456,Laurie Bleick,Director,(818) 845-7671,lauriebjb@yahoo.com,SPA 2,SD 5,NA,310600,4, ,4, , 
503,M,100,A,"7817 Lankershim Blvd, Los Angeles, CA, 91605",1,-118.387847,34.21243,026-006886,OPH,LA Family Housing Corporation,Homeless Section 8 Voucher Program (HACLA) - Scattered Sites,C,0,SMF+HC,Family,NA,NA,Yes,1,7817 Lankershim Blvd., ,Los Angeles,91605,62118,John Horn,VP of Programs,(818) 982-4091,jhorn@lafh.org,SPA 2,SD 3,CD 6,121800,109, ,109, , 
504,M,92.5,A,"14303 Sylvan St, Van Nuys, CA, 91401",1,-118.444476,34.18472,104-009459,TH,"San Fernando Valley Community Mental Health Center, Inc.",Sylvan Place Co-Op,C,0,SMF,Individual,NA,Mentally Ill,No,0.63,14303 SYLVAN ST, ,Van Nuys,91411,62118,Bonnie Roth,Asst. Director of Homeless Continuum,(818) 901-4836,broth@sfvcmhc.org,SPA 2,SD 3,CD 6,128210,57, ,36, , 
505,M,100,A,"7817 Lankershim Blvd, Los Angeles, CA, 91605",1,-118.387847,34.21243,026-006870,TH,LA Family Housing Corporation,Sydney M. Irmas Transitional Living Center,C,0,HC,Family,NA,NA,Yes,0.86,7817 Lankershim Blvd., ,Los Angeles,91605,62118,Kris Freed,Director of Homeless Services for Families,(818) 982-4091,kfreed@lafh.org,SPA 2,SD 3,CD 6,121800,21, ,18, , 
